"sample_id","Condition","r1_raw","r2_raw","pe_raw","r1_surv","r2_surv","pe_surv","r1_val","r2_val","pe_val","R1_sum","R2_sum","PE_sum","R1._coverage","R2._coverage","PE._coverage"
"X1_R1_adapt10","HR",23342910,23342910,23342910,16168871,15344598,15599277,16113473,13940714,13183929,6590911,2014956,5907746,0.226,0.04,0.222
"X2_R1_adapt10","HR",9658184,9658184,9658184,3097491,2080002,2292593,3010089,1247284,740015,300465,138273,237271,0.142,0.012,0.107
"X3_R1_adapt10","LR",7856094,7856094,7856094,1005298,871124,705046,994833,542123,294280,241339,84775,212793,0.104,0.011,0.094
"X4_R1_adapt10","HR",24832188,24832188,24832188,327657,957947,203051,321488,484781,137597,100487,46534,92843,0.107,0.011,0.104
"X5_R1_adapt10","HR",6774576,6774576,6774576,1352326,898657,850823,1322276,507285,245428,33303,6801,22348,0.113,0.009,0.099
"X6_R1_adapt10","HR",20166932,20166932,20166932,9511722,8578736,8563644,9471736,7484409,6859900,7103750,2529046,6371613,0.144,0.026,0.138
"X7_R1_adapt10","HR",26465197,26465197,26465197,255006,886652,132937,247716,413667,58408,16332,10468,15253,0.036,0.005,0.036
"X8_R1_adapt10","HR",25901395,25901395,25901395,13310105,12032815,12065682,13258387,10473619,9900452,4695890,1644010,4164754,0.188,0.028,0.182
"X9_R1_adapt10","HR",23138520,23138520,23138520,11922058,10747255,10744134,11874754,9353893,8873181,7461067,4332328,6654000,0.188,0.033,0.176
"X10_R1_adapt10","HR",26531889,26531889,26531889,19723087,18923445,19242206,19656381,17388511,16309299,15139577,6098785,13549316,0.264,0.052,0.259
"X11_R1_adapt10","HR",21755139,21755139,21755139,18166867,17197388,17828578,18108031,15668360,15011171,1268345,371530,1125864,0.203,0.03,0.196
"X12_R1_adapt10","HR",26314909,26314909,26314909,437024,1117823,222816,428884,545004,133567,105256,28589,96367,0.11,0.015,0.108
"X13_R1_adapt10","HR",20153940,20153940,20153940,9003679,7829922,7740687,8963977,6580973,6205415,2270256,1210762,1979991,0.169,0.028,0.161
"X14_R1_adapt10","HR",27711852,27711852,27711852,24016506,23033976,23785779,23941747,21117131,20011514,8088805,2791011,7198968,0.26,0.045,0.255
"X15_R1_adapt10","HR",25758260,25758260,25758260,21148771,20394817,20898708,21083655,18830005,17859010,7367327,1939963,6590712,0.299,0.051,0.294
"X16_R1_adapt10","LR",19484441,19484441,19484441,12111252,11446569,11573890,12063404,10288864,9805025,2575900,1174170,2302298,0.165,0.024,0.155
"X17_R1_adapt10","HR",21190382,21190382,21190382,15500926,14877082,15099082,15445613,13620330,13023542,2732154,1338820,2454232,0.164,0.028,0.16
"X18_R1_adapt10","LR",22451236,22451236,22451236,18778896,17793961,18438162,18710512,16157521,15120702,2844322,1065411,2545148,0.207,0.037,0.202
"X19_R1_adapt10","HR",27354638,27354638,27354638,25061065,24044256,24886532,24981503,22126138,21055928,7340901,1725366,6571040,0.338,0.061,0.332
"X20_R1_adapt10","HR",1433226,1433226,1433226,549676,441249,434228,547081,340520,297669,76444,37856,65294,0.103,0.012,0.101
"X21_R1_adapt10","LR",24817012,24817012,24817012,292641,866192,114221,286492,392792,47209,17765,5097,16413,0.085,0.009,0.084
"X22_R1_adapt10","HR",24832119,24832119,24832119,20344005,19502348,20103291,20272249,17796510,16875591,5944500,1841212,5288066,0.275,0.048,0.27
"X23_R1_adapt10","HR",21495300,21495300,21495300,10641556,9444425,9435895,10598403,8153266,7792869,2224773,864508,1965671,0.155,0.028,0.152
"X24_R1_adapt10","HR",21242097,21242097,21242097,12047441,10635561,10771663,11996298,9111289,8753413,3611780,1397927,3190038,0.167,0.026,0.161
"X25_R1_adapt10","LR",21311354,21311354,21311354,16752178,15806064,16214472,16697031,14359206,13757362,5091282,1497684,4555647,0.211,0.035,0.208
"X26_R1_adapt10","HR",23325873,23325873,23325873,13141061,11524697,11659520,13086734,9877252,9565091,3886296,1553960,3441421,0.149,0.021,0.144
"X27_R1_adapt10","HR",26382144,26382144,26382144,14900471,13081870,13226768,14835971,11273576,10724087,4947313,2254117,4402248,0.165,0.024,0.157
"X28_R1_adapt10","HR",24518176,24518176,24518176,19292306,18122118,18672659,19226428,16341013,15581592,2774084,824015,2461968,0.206,0.035,0.2
"X29_R1_adapt10","HR",25001777,25001777,25001777,12766332,11233686,11261683,12716413,9667013,9319476,2154800,771792,1895233,0.144,0.022,0.14
"X30_R1_adapt10","LR",23208584,23208584,23208584,689710,1144817,452560,682698,727039,368942,198884,52449,184781,0.184,0.024,0.18
"X31_R1_adapt10","LR",20648832,20648832,20648832,17345927,16490446,17001344,17289521,15078709,14379862,5569198,1484028,4978521,0.227,0.036,0.221
"X32_R1_adapt10","HR",17486046,17486046,17486046,7606602,6341753,6275983,7573307,5179458,5121192,3017574,1938591,2686638,0.14,0.019,0.134
"X33_R1_adapt10","HR",20901711,20901711,20901711,15724457,14702363,15076742,15675596,13261841,12700288,4448824,1583681,3976757,0.186,0.03,0.182
"X34_R1_adapt10","HR",22133353,22133353,22133353,19411309,18494813,19207143,19356555,16898739,16156104,3075412,692621,2754359,0.222,0.038,0.22
"X35_R1_adapt10","HR",31446512,31446512,31446512,31028968,29685930,30997855,30936965,27294625,26153698,6586917,1103731,5899343,0.41,0.073,0.406
"X36_R1_adapt10","HR",29533012,29533012,29533012,26333714,25274384,26061479,26258917,23387335,22279315,9967376,2505767,8973163,0.285,0.048,0.283
"X37_R1_adapt10","HR",34831949,34831949,34831949,1546742,3349259,1407592,1517325,960930,129515,94523,12750,73487,0.12,0.011,0.114
"X38_R1_adapt10","LR",27166118,27166118,27166118,20181812,18951313,19372771,20117450,17214944,16358295,10081836,2052416,9012545,0.248,0.051,0.244
"X39_R1_adapt10","HR",28537139,28537139,28537139,27947724,27153995,27871089,27889151,25876684,24830182,7932505,1253134,7427752,0.38,0.06,0.374
"X40_R1_adapt10","LR",21971250,21971250,21971250,12791953,12545114,12681687,12754241,11974562,11163762,226048,39320,211092,0.185,0.03,0.179
"X41_R1_adapt10","LR",16631839,16631839,16631839,7830992,6542151,6606345,7801647,5714723,5502986,2936742,794208,2718748,0.14,0.024,0.135
"X42_R1_adapt10","HR",11567612,11567612,11567612,5468251,4994306,5058514,5450098,4580343,4280018,1519503,427634,1418956,0.16,0.019,0.157
"X43_R1_adapt10","HR",11367957,11367957,11367957,3128963,2399856,2401713,3114394,1942501,1797473,102216,31613,79899,0.1,0.01,0.095
"X44_R1_adapt10","HR",20190427,20190427,20190427,11038522,9877959,10047299,11005886,8995338,8619251,969288,289830,889079,0.17,0.027,0.166
"X45_R1_adapt10","LR",21678938,21678938,21678938,19473543,18885209,19252496,19428836,18093663,17169867,13102614,4130860,12289696,0.302,0.051,0.296
"X46_R1_adapt10","HR",21612890,21612890,21612890,5710214,3251489,3223789,5679188,2043353,2298660,111227,15577,48042,0.124,0.012,0.117
"X47_R1_adapt10","HR",39993725,39993725,39993725,1844529,3667545,1566613,1805811,979767,77924,58321,19694,43581,0.07,0.01,0.065
